close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate,predict_value
1995,0,0.0,1992,1992,1992,0.08361204,0.12554927800000001,0.050226017000000005,0,0,0,0.0,0.0,0.0,0.0,-300,28000,2.17,0.0009161072412098292
1995,0,0.0,1991,1991,1991,0.167504188,0.06281407,0.050251255999999994,0,0,0,0.0025125629999999998,0.005037783,0.0025125629999999998,-0.251256281,-3100,-87000,-2.5,0.002815942745655775
1995,5,0.251256281,1990,1990,1990,0.083822297,0.062853551,0.0,0,0,0,0.005037783,0.0025125629999999998,0.0025125629999999998,-0.0006328880000000001,-100,-34000,-1.08,0.0039035419356423517
1990,5,0.25188916899999997,1990,1990,1990,0.0,-0.06281407,-0.050226017000000005,0,0,0,0.0025125629999999998,0.0025125629999999998,0.0,0.50314545,3000,18000,-1.2,0.0004541414091363549
1985,-5,-0.251256281,1991,1991,1991,-0.167364017,-0.125470514,-0.100351229,0,0,0,0.0,-0.002506266,-0.002506266,-0.251256281,1500,29000,-0.08,-0.0008402301609748974
1990,0,0.0,1993,1993,1993,-0.08361204,-0.062695925,-0.050150451,-1,-1,-1,-0.005012531,-0.005012531,-0.005012531,0.250626566,-300,-22000,-0.68,-0.0033007423298840877
1990,-5,-0.250626566,1994,1994,1994,-0.083542189,-0.062656642,-0.100200401,-1,-1,-1,-0.002506266,-0.002506266,-0.002506266,-0.250626566,-800,-13000,0.33,-0.0032273084070766345
1995,0,0.0,1996,1996,1996,0.0,-0.062617408,-0.050075113,-1,-1,-1,-0.002506266,-0.002506266,-0.005,0.0,-1000,-39000,1.57,-0.0016989193827612326
1995,0,0.0,1997,1997,1997,-0.083472454,-0.062578223,0.20070245899999997,-1,-1,-1,0.0,-0.0025,-0.0025,0.0,-900,16000,-0.43,-0.001712930534267798
1995,0,0.0,1993,1993,1993,-0.083402836,0.250941029,0.050200802999999995,-1,-1,0,-0.0025,-0.0025,0.010126582,0.25,0,-11000,1.62,-0.0033390164007869316
1995,-5,-0.25,1992,1992,1992,0.334728033,0.06277463900000001,0.0,-1,0,0,-0.0025,0.010126582,0.0025125629999999998,-0.25,2700,63000,-1.76,-0.003713948099175468
2000,0,0.0,1992,1992,1992,0.167644593,0.06281407,0.100502513,0,0,0,0.010126582,0.0025125629999999998,0.0,-1.265822785,-1500,36000,-1.71,0.008679104066686705
