close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
1995,0,0,1992,1992,1992,0.08361204,0.125549278,0.050226017,0,0,0,0,0,0,0,-300,28000,2.17
1995,0,0,1991,1991,1991,0.167504188,0.06281407,0.050251256,0,0,0,0.002512563,0.005037783,0.002512563,-0.251256281,-3100,-87000,-2.5
1995,5,0.251256281,1990,1990,1990,0.083822297,0.062853551,0,0,0,0,0.005037783,0.002512563,0.002512563,-0.000632888,-100,-34000,-1.08
1990,5,0.251889169,1990,1990,1990,0,-0.06281407,-0.050226017,0,0,0,0.002512563,0.002512563,0,0.50314545,3000,18000,-1.2
1985,-5,-0.251256281,1991,1991,1991,-0.167364017,-0.125470514,-0.100351229,0,0,0,0,-0.002506266,-0.002506266,-0.251256281,1500,29000,-0.08
1990,0,0,1993,1993,1993,-0.08361204,-0.062695925,-0.050150451,-1,-1,-1,-0.005012531,-0.005012531,-0.005012531,0.250626566,-300,-22000,-0.68
1990,-5,-0.250626566,1994,1994,1994,-0.083542189,-0.062656642,-0.100200401,-1,-1,-1,-0.002506266,-0.002506266,-0.002506266,-0.250626566,-800,-13000,0.33
1995,0,0,1996,1996,1996,0,-0.062617408,-0.050075113,-1,-1,-1,-0.002506266,-0.002506266,-0.005,0,-1000,-39000,1.57
1995,0,0,1997,1997,1997,-0.083472454,-0.062578223,0.200702459,-1,-1,-1,0,-0.0025,-0.0025,0,-900,16000,-0.43
1995,0,0,1993,1993,1993,-0.083402836,0.250941029,0.050200803,-1,-1,0,-0.0025,-0.0025,0.010126582,0.25,0,-11000,1.62
1995,-5,-0.25,1992,1992,1992,0.334728033,0.062774639,0,-1,0,0,-0.0025,0.010126582,0.002512563,-0.25,2700,63000,-1.76
2000,0,0,1992,1992,1992,0.167644593,0.06281407,0.100502513,0,0,0,0.010126582,0.002512563,0,-1.265822785,-1500,36000,-1.71
2000,25,1.265822785,1990,1990,1990,0.083892617,0.125786164,0.251889169,0,0,0,0.005025126,0.002506266,0.005025126,2.019591629,-400,-62000,-0.69
1975,-15,-0.753768844,1985,1985,1985,-0.251046025,0,-0.150905433,0,0,0,0.002506266,0.005025126,0.012658228,-0.503142278,-1200,-4000,0.55
1990,-5,-0.250626566,1988,1988,1988,0.251677852,0,-0.150678051,0,0,0,-0.007537688,0,-0.007537688,-0.501882847,1700,25000,-1.68
1995,5,0.251256281,1991,1991,1991,0.083963056,-0.125628141,0.050251256,0,0,0,0.007594937,0,-0.007481297,-0.50823739,600,2000,1.34
1990,15,0.759493671,1990,1990,1990,-0.251256281,0,0,0,0,0,0.002512563,-0.004987531,0.002512563,1.513262515,-5600,-90000,-3.13
1975,-15,-0.753768844,1990,1990,1990,-0.250626566,-0.188087774,-0.200601805,0,0,0,-0.007481297,0,0,-0.005639168,-200,-34000,1.51
1990,-15,-0.748129676,1994,1994,1994,0,-0.062656642,0,0,0,0,-0.007537688,-0.007537688,-0.010025063,-1.50189852,-500,32000,-2.78
2005,15,0.753768844,1994,1994,1994,0.167364017,0.188323917,0.050175615,0,0,0,0,-0.002506266,0,0.753768844,-2000,-141000,-1.32
1990,0,0,1993,1993,1993,0,-0.12539185,-0.100250627,0,0,0,0.005012531,0.007537688,0.0025,0.250626566,400,8000,1.43
1990,-5,-0.250626566,1995,1995,1995,-0.167084378,-0.125234815,-0.100150225,0,0,0,0,-0.005,-0.005,-0.501882847,-2100,-33000,0.82
1995,5,0.251256281,1997,1997,1997,-0.083472454,-0.062578223,-0.05005005,0,0,0,-0.005,-0.005,-0.005,0.751256281,1800,34000,1.48
1990,-10,-0.5,1998,1998,1998,-0.166666667,-0.125,-0.1,0,0,0,-0.0025,-0.0025,-0.0025,-0.5,2900,4000,-0.13
2000,0,0,2000,2000,2000,0,0,0,-1,-1,-1,-0.005,-0.005,-0.005,0,-900,-31000,0.27
2000,0,0,2000,2000,2000,0,0,0.050025013,-1,-1,-1,0,0,0,0,500,2000,-0.03
2000,0,0,1999,1999,1999,0,0.062539087,0,-1,-1,0,0,0,0.002506266,0,500,22000,1.57
2000,0,0,1999,1999,1999,0.083402836,0,0,-1,0,0,0,0.002506266,0,0,-1400,-29000,-0.94
2000,0,0,1999,1999,1999,0,0,-0.05,0,0,0,0.002506266,0,0,-0.250626566,1100,-23000,1.08
2000,5,0.250626566,2000,2000,2000,0,-0.0625,0,0,0,0,0,0,-0.002493766,0.500626566,300,-1000,1.81
1995,-5,-0.25,2000,2000,2000,-0.166527893,-0.062460962,-0.049975012,0,0,0,0,-0.002493766,0,-0.25,-400,3000,2.05
2000,0,0,2001,2001,2001,0,0,0,-1,0,0,-0.004987531,-0.0025,-0.0025,0.249376559,-800,-21000,1.25
2000,-5,-0.249376559,2001,2001,2001,0,0,0,0,0,0,0,0,0,-0.499376559,800,33000,1.2
2005,5,0.25,2001,2001,2001,0.083333333,0.0625,0,0,0,0,0,0,0,0.25,-1100,-14000,0.3
2000,0,0,2001,2001,2001,0,-0.062460962,-0.04995005,0,0,0,0.0025,0.0025,0,0,-900,0,-0.44
2000,0,0,2002,2002,2002,-0.083263947,-0.062421973,-0.049925112,-1,-1,-1,0,-0.002493766,-0.002493766,0,1000,-34000,0.37
2000,0,0,2003,2003,2003,-0.083194676,-0.062383032,0.04995005,-1,-1,-1,-0.002493766,-0.002493766,-0.002493766,0.249376559,-1900,-8000,-0.47
2000,-5,-0.249376559,2002,2002,2002,-0.08312552,0.062421973,0.049975012,-1,-1,0,-0.002493766,-0.002493766,0.002506266,-0.249376559,3100,107000,0.69
2005,0,0,2001,2001,2001,0.166527893,0.125,0.05,-1,0,0,-0.002493766,0.002506266,0.002506266,0,2400,52000,0.3
2005,0,0,2000,2000,2000,0.166805671,0.062539087,0.1001001,0,0,0,0.005012531,0.005012531,0.0025,-0.501253133,1400,48000,0.8
2005,10,0.501253133,1998,1998,1998,0.083472454,0.125234815,0.050075113,0,0,0,0.005012531,0.0025,0.005012531,0.501253133,-300,34000,0.57
1995,0,0,1997,1997,1997,0,-0.062578223,-0.05005005,0,0,0,0.0025,0.005012531,0.0025,0.25,-3000,-75000,-1.59
1995,-5,-0.25,1998,1998,1998,-0.083402836,-0.062539087,-0.149925037,0,0,0,0,-0.0025,-0.0025,-0.500626566,-100,-7000,0.73
